"user_id","product_id","review_id","rating","review_text","sentiment_id"
,B09TRF4LM9,R100AEOXPX3ZP7,5.0,"wasn't sure about an off-brand, but this charger works great! Doesn't overheat and charges very rapidly.",
,B09BG6DSBY,R101PRE3GXWPG7,2.0,"These are so slow!! Even with an extra storage card, they run so slow.",
,B08438H4GM,R102U9PYQ6S094,5.0,"So I've tried several different docks and this seems to be the best for my new MacBook Air M1. I wanted to write a review because everybody is reviewing for Pro's and the Air is different BECAUSE of the power adapter that comes with it. The Air comes with a 30 watt power adapter so when I would plug it in through the dock it would not charge. The work around is to get a 60 watt power adapter which is also still compatible with the Air. The issue is the dock uses some of the power and not all of the 30 watts goes through to the computer and what little that did go through the computer did not recognize as being enough to charge. The 60 watt is working great and don't worry, I did verify all of this with both Apple and Belkin tech support. I'm using one very large external monitor (this doesn't work with dual monitors on the M1...not a Belkin thing it's and apple thing) both USB ports for various things and the 3.5mm sound out to a mixer/speakers and the charger for the computer.  It is really convenient as I only have to plug in the one thing into the thunderbolt and everything is up and running. The cable is short but I use my computer as a second screen and have a raised docking station for it to be at eye level. I mounted this dock to the back of that stand in the upper left so the connector just literally loops around and in. Very happy so far and will update if that changes.",
,B09PL7GCHV,R102YA9MC0BT2W,5.0,Perfect for my 10 year old son to take to school! 😎😎😎,
,B09HZ5GTBP,R104EEVOTRJF88,2.0,Do not use this charger if you have a dell xps 15 It will fry your computer!!,
,B0BRTGTH8R,R106ADEM54ZA39,5.0,"Came in a nice envelope ready to mail. There is a separate card to write a sentiment that matches. The colors are vibrant and the card is beautiful. It is easy to stand up. I ordered 2 different ones and they are both pretty and sturdy. The price is good for the product received. Also, The cost to mail it was reasonable ($2.35 US domestic). Would recommend.",
,B079DHNK3H,R106S0OOV54GFD,3.0,Bag shipped damage. When I weight bag was 19.15 lb,
,B0C58N5J9Q,R106VWBNF5NMRI,5.0,Using for mac pro and working perfectly,
,B0B1CNJL7N,R10B2V81LBFYX0,1.0,"Cheap material, not sturdy at all",
,B0CRPC5432,R10BYE20UOZFNF,5.0,"I am very satisfied with the purchase of my laptop it is compact, light, easy to use and install programs, it has good capacity and can also be expanded, it is a very good option for the price it has. So far I love everything in it",
,B071JM699P,R10CMSG3KEL533,5.0,Thank you,
,B007VBXB48,R10CUVUK5QFLQR,5.0,Nice product,
,B07DY16W2Z,R10F95LI22DFOC,1.0,It worked great at first but after few months it stopped working and had a tech look at it and tried to fix it but was told it would be better to buy another modem. After it stopped working the internet was so bad you could barely get the WiFi working.probably go with a different brand.,
,B0000DH8HQ,R10FJKI1BTDCZ,1.0,I ordered the 6 pack of tape. There was only 5 in the pack.,
,B01BYKUI9C,R10G6AHUS0LE0C,5.0,Like it very much. Does the job.,
,B0CP9YB3Q4,R10G9HKYX77RUT,4.0,"I really like this cup, but it could be better. 1st it's not water proof unless you buy the little accessory. That's the only way. 2nd it keeps ice for 2 to 3 days depending on how much you put in it. The last thing I have to say is water, because that's all I put in mine, does not stay cold without ice. I find myself buying ice just for my cup. Even if I just put water, no ice and sit in the refrigerator, the water will still not be as cold as I think it should be. Leaving it on the night stand over night with no ice, the water will be room temp.",
,B0CN8TJ5V2,R10IC6SM6KLJ2D,3.0,Cute just thought the inside would be bigger. It’s cute but the colors are a little darker than what it looked like on Amazon.,
,B0030MIHAU,R10ILDOI1T6R1A,5.0,Love it. Saves my back and knees,
,B08HQJKD3G,R10JGLIJH4EBNL,4.0,"I didn't pay much attention because I was so glad to find it, but I do prefer silver. The gold color is just a little more ""brazzy"", but it is a gift for someone who won't mind. I am sure it will be received well.",
,B08Y94CB1J,R10KLNC8VZQFMY,5.0,These pens write so smooth without smudging. The have a velvety smooth finish. These have become me new favorite pens.,
,B000E28UQU,R10MCQIHV3SSA3,5.0,Everything comes out the nozzle just like it was on the picture everything works good,
,B082PMRSBK,R10R5MEBZWA0EK,5.0,I use these for work and they are great.,
,B00WR23VRI,R10RKDD2Q090I4,5.0,Convenient and competitive,
,B0028SCBV8,R10RV0UA92HPWL,5.0,I've always used ExcelMark products and have not been disappointed. Easy to use!,
,B01IE7P2VW,R10UY9711RL7NV,5.0,Beautiful bright blue. Fits queen bed with foam topper,
,B000J07BRQ,R10VMA4PXNHIWZ,5.0,Taped up a bunch of already used cardboard boxes for our move across town. Made it lots easier than wrestling with ordinary rolls of tape.,
,B09MKPDJRT,R10VW5M7WT409J,5.0,This is the quietest fan I have ever owned! It’s also powerful and in night mode it is completely dark!,
,B08Z1LTDDY,R10XAX929QMCYW,5.0,These cards are incredibly well made for the price. The design is beautiful and looks exactly like the photo but even more special in person. Even the envelope is great quality paper! I love. Will definitely be buying more from this seller,
,B08Z1LTDDY,R10YQ2C6K4R4S7,2.0,"Overall look of the card is great, but the inside is delicate and was already partially ripped when I received the card. Too much hassle to return, but I won’t purchase this brand again.",
,B0B3SQK74L,R10YX4EA7FFNWI,2.0,Upgraded to this because I have some 6e devices. 6e never works correctly. Slow downloads vs my old router (have gigabit internet). Mishandled traffic something awful. Frequent disconnects. Will be upgrading to a udm pro se very soon. Don't waste your money on this.,
,B09PQF39PG,R10Z3MKUQ6AR58,5.0,Zaps them quick fast and in a hurry 😂😂,
,B01M7WZFAS,R11034DT58FKN2,4.0,Works as claimed & suppose to.,
,B073H8STZ7,R11084622UMTQJ,5.0,This is the third blanket I have ordered. The colors are so beautiful and vibrant. The material is so soft but the best part is it’s not a heavy blanket. It’s on the thinner side so it’s perfect to use for the summer. My whole family loves them so we had to get one for everyone!,
,B07W65KFG6,R110FLHQIWALL1,5.0,Well made and functional. Nice addition to any gift and it brings a smile.,
,B000087KUA,R1130VBENLTDNK,5.0,Have used this packing take through two major moves. Love the fact that I have Never had a problem with the adhesion. There is nothing bad I have to say about this tape. Have ordered it several times over. It is the best.,
,B0725WFLMB,R113CI5QW3ZEXQ,5.0,Feels so good on one's skin and doesn't mess your hair up.,
,B08X4M4LBR,R113XFTIZGEP3J,1.0,Works fine. Driver keeps delivering to the wrong address,
,B01LYNW421,R114GRM2QGAMWU,1.0,This came rolled up like a sausage and the pillows are deformed and useless. Absolute garbage.,
,B0CP9YB3Q4,R114IPLGHZP6B2,1.0,"This EXPENSIVE Stanley Cup arrived with what appears to be a knife slice all the way down the front center of the cup, which is UNACCEPTABLE!! I purchased this for a gift for my disabled husband and for that much money, it should NOT have arrived damaged!!!",
,B09688VRYZ,R1157IMOKD7286,2.0,Second charger bought in just a few months and after 6 weeks the silver part that plugs into the laptop snapped off. The first one stopped working after 8 or 9 weeks when the wires came apart from the charger. You get what you pay for I guess.,
,B010A7TZ76,R115OVRDWP5PN4,1.0,"Don’t waste your money on this printer, it won’t even connect to WiFi. Bought this as a replacement for the first one that died. Canon used to be top of the line, but they’ve gone backwards so far that we actually thinking about switching back to HP.",
,B09NM28SB4,R116O1FGDBDVVJ,2.0,Didn't have the charging piece we needed.,
,B08Z1LTDDY,R116Q8OAMA5PU1,5.0,"Love the card, just right for my mom",
